"numero_dpe","tr001_modele_dpe_id","nom_methode_dpe","version_methode_dpe","nom_methode_etude_thermique","version_methode_etude_thermique","date_visite_diagnostiqueur","date_etablissement_dpe","date_arrete_tarifs_energies","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_habitable","numero_rue","type_voie","nom_rue","batiment","escalier","etage","porte","numero_lot","arrondissement","code_postal","commune","code_insee_commune","code_insee_commune_corrige","en_surface","en_souterrain","shon","surface_utile","surface_thermique_parties_communes","surface_baies_orientees_est_ouest","surface_baies_orientees_nord","surface_baies_orientees_sud","surface_parois_verticales_opaques_deperditives","surface_planchers_bas_deperditifs","surface_planchers_hauts_deperditifs","tr004_type_energie_id","tr006_type_usage_id","consommation_energie_finale","consommation_energie_primaire"
"1357P1000001W",14,"FACTURE - DPE","V2012","NULL","NULL","26/04/2013","26/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"4524,11","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000002X",14,"FACTURE - DPE","V2012","NULL","NULL","26/04/2013","26/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"1214,81","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000003Y",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"1178,1","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000004@",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"5736,23","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000005A",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"673,2","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000006B",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",1974,"292,18","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000007C",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",164.33,"C",25.51,"C",1988,"2592,61","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000008D",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",2000,"981,35","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000009E",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",2000,"654,94","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000010W",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",2006,"326,27","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1357P1000011X",14,"FACTURE - DPE","V2012","NULL","NULL","15/04/2013","15/04/2013","15/08/2011",179.27,"C",27.83,"C",2000,"1120,24","15","rue","de la briquerie",,,,,,"0","57100","THIONVILLE","57672","57672","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","9",0,0
"1322P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","24/05/2013","15/09/2011",31,"N",1,"N",1,"338,84",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage 1ER",,,"5","N/A","22190","PLÉRIN","22190","22190","0","0","308,04","100","0","0","0","0","0","0","0","2","1",4164,10743.12
"1322P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","24/05/2013","15/09/2011",31,"N",1,"N",1,"338,84",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage 1ER",,,"5","N/A","22190","PLÉRIN","22190","22190","0","0","308,04","100","0","0","0","0","0","0","0","2","9",0,0
"1322P1000002P",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","24/05/2013","15/09/2011",31,"N",1,"N",1,"85,22",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"74","N/A","22190","PLÉRIN","22190","22190","0","0","77,47","100","0","0","0","0","0","0","0","2","1",1047,2701.26
"1322P1000002P",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","24/05/2013","15/09/2011",31,"N",1,"N",1,"85,22",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"74","N/A","22190","PLÉRIN","22190","22190","0","0","77,47","100","0","0","0","0","0","0","0","2","9",0,0
"1322P1000003Q",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"114,84",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage 2EME",,,"9","N/A","22190","PLÉRIN","22190","22190","0","0","104,4","100","0","0","0","0","0","0","0","2","1",1411,3640.38
"1322P1000003Q",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"114,84",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage 2EME",,,"9","N/A","22190","PLÉRIN","22190","22190","0","0","104,4","100","0","0","0","0","0","0","0","2","9",0,0
"1355P1000001U",14,"FACTURE - DPE","V2012","NULL","NULL","23/05/2013","23/05/2013","15/08/2011",226.88,"D",39.63,"D",1977,"678,12","6","avenue","du président Kennedy",,,,,,"0","55100","VERDUN","55545","55545","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1",17566,66.83
"1355P1000001U",14,"FACTURE - DPE","V2012","NULL","NULL","23/05/2013","23/05/2013","15/08/2011",226.88,"D",39.63,"D",1977,"678,12","6","avenue","du président Kennedy",,,,,,"0","55100","VERDUN","55545","55545","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","1",108531.1,160.05
"1322P1000004R",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"133,2",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"75","N/A","22190","PLÉRIN","22190","22190","0","0","121,09","100","0","0","0","0","0","0","0","2","1",1637,4223.46
"1322P1000004R",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"133,2",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"75","N/A","22190","PLÉRIN","22190","22190","0","0","121,09","100","0","0","0","0","0","0","0","2","9",0,0
"1322P1000005S",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"140,78",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"2","N/A","22190","PLÉRIN","22190","22190","0","0","127,98","100","0","0","0","0","0","128","0","2","1",1730,4463.4
"1322P1000005S",14,"Méthode Facture","N/A","15-août-11","15-août-11","23/05/2013","27/05/2013","15/09/2011",31,"N",1,"N",1,"140,78",,,"9 RUE HELENE BOUCHER",,"Bat. CYBELE; Etage RDC",,,"2","N/A","22190","PLÉRIN","22190","22190","0","0","127,98","100","0","0","0","0","0","128","0","2","9",0,0
"1357P1000012Y",14,"FACTURE - DPE","V2012","NULL","NULL","28/05/2013","28/05/2013","15/08/2011",221.73,"D",35.91,"D",1974,"2448,87","21","rue","des Vosges",,,,,,"0","57800","FREYMING-MERLEBACH","57240","57240","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","1",75292.3,79.32
"1357P1000012Y",14,"FACTURE - DPE","V2012","NULL","NULL","28/05/2013","28/05/2013","15/08/2011",221.73,"D",35.91,"D",1974,"2448,87","21","rue","des Vosges",,,,,,"0","57800","FREYMING-MERLEBACH","57240","57240","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","1",348734.8,142.41
"1313P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","05/06/2013","07/06/2013","15/09/2011",7,"N",0,"N",1,"2122,78",,,"ZAC GROTTES DE PICHAURY 595 RUE BERTHIER",,,,,"Sans objet","N/A","13290","LES MILLES","13290","13001","0","0","1929,8","0","0","0","196,2","196,2","706,87","693,95","593,51","2","1",14645.7,37785.9
"1313P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","05/06/2013","07/06/2013","15/09/2011",7,"N",0,"N",1,"2122,78",,,"ZAC GROTTES DE PICHAURY 595 RUE BERTHIER",,,,,"Sans objet","N/A","13290","LES MILLES","13290","13001","0","0","1929,8","0","0","0","196,2","196,2","706,87","693,95","593,51","2","7",20816.6,53706.83
"1313P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","05/06/2013","07/06/2013","15/09/2011",7,"N",0,"N",1,"2122,78",,,"ZAC GROTTES DE PICHAURY 595 RUE BERTHIER",,,,,"Sans objet","N/A","13290","LES MILLES","13290","13001","0","0","1929,8","0","0","0","196,2","196,2","706,87","693,95","593,51","2","2",5101.3,13161.35
"1313P1000001O",14,"Méthode Facture","N/A","15-août-11","15-août-11","05/06/2013","07/06/2013","15/09/2011",7,"N",0,"N",1,"2122,78",,,"ZAC GROTTES DE PICHAURY 595 RUE BERTHIER",,,,,"Sans objet","N/A","13290","LES MILLES","13290","13001","0","0","1929,8","0","0","0","196,2","196,2","706,87","693,95","593,51","2","7",11190.02,28870.25
