code_operateur,nom_operateur,code_site_operateur,id_station_anfr,x_lambert_93,y_lambert_93,date_ouverturecommerciale_5g,site_5g_700_m_hz,site_5g_800_m_hz,site_5g_1800_m_hz,site_5g_2100_m_hz,site_5g_3_5_g_hz,code_commune_insee,nom_commune_insee,code_departement_insee,nom_departement_insee,code_region_insee,nom_region_insee
20801,Orange,00000001B1,0642290151,422850,6249230,2020-12-14,0,0,0,1,0,64284,Jurançon,64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine
20801,Orange,00000001F3,0592290571,706035,7030059,2020-12-14,0,0,0,0,1,59178,Douai,59,Nord,32,Hauts-de-France
20801,Orange,00000001T1,0312290351,574390,6279677,2020-12-14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000002T1,0312290014,575779,6281032,2020-12-14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000003F4,0592290039,703788,7063473,2020-12-14,0,0,0,0,1,59527,Saint-André-lez-Lille,59,Nord,32,Hauts-de-France
20801,Orange,00000003T1,0312290009,577007,6278396,2020-12-14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000004M2,0722290014,491568,6769222,2020-12-03,0,0,0,0,1,72181,Le Mans,72,Sarthe,52,Pays de la Loire
20801,Orange,00000004Q1,0292290015,148088,6837621,2020-12-30,0,0,0,0,1,29019,Brest,29,Finistère,53,Bretagne
20801,Orange,00000004W4,0782290019,638511,6869772,2020-12-14,0,0,0,0,1,78586,Sartrouville,78,Yvelines,11,Île-de-France
20801,Orange,00000005F4,0592290003,702037,7054972,2020-12-14,0,0,0,1,0,59360,Loos,59,Nord,32,Hauts-de-France
20801,Orange,00000005K2,0342290266,770849,6279497,2020-12-14,0,0,0,0,1,34172,Montpellier,34,Hérault,76,Occitanie
20801,Orange,00000005Q1,0292290033,143706,6835896,2020-12-30,0,0,0,0,1,29019,Brest,29,Finistère,53,Bretagne
20801,Orange,00000005T1,0312290025,572941,6277175,2020-12-14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000006D1,0632290006,708076,6517580,2020-12-03,0,0,0,0,1,63014,Aubière,63,Puy-de-Dôme,84,Auvergne-Rhône-Alpes
20801,Orange,00000006F4,0592290042,708283,7063175,2020-12-14,0,0,0,0,1,59646,Wasquehal,59,Nord,32,Hauts-de-France
20801,Orange,00000006J2,0062290020,1026977,6288166,2020-12-30,0,0,0,0,1,06152,Valbonne,06,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000006K2,0342290012,774015,6276655,2020-12-14,0,0,0,1,0,34129,Lattes,34,Hérault,76,Occitanie
20801,Orange,00000007D1,0632290011,705999,6520508,2020-12-03,0,0,0,0,1,63113,Clermont-Ferrand,63,Puy-de-Dôme,84,Auvergne-Rhône-Alpes
